mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
24.73,-37.94,0.65,68.54,13.0,63.05,0.84,-0.95,-0.47,1
42.31,5.19,-47.3,-0.67,-0.06,0.49,-0.04,-0.03,1.0,3
34.89,-37.32,0.93,-18.31,-9.28,-49.01,-0.25,0.75,0.21,2
28.77,-17.79,32.79,0.85,61.04,21.0,-0.48,0.33,-0.82,2
51.17,-32.76,4.3,-21.06,-3.85,-75.93,0.29,0.98,0.1,2
51.9,-29.77,10.57,-9.28,-17.88,30.82,-0.28,0.7,0.42,1
54.0,-26.37,13.09,-78.55,-19.23,37.72,-0.43,1.02,0.22,1
28.89,-37.9,-0.77,-0.24,47.18,-156.56,3.61,2.49,-0.2,1
59.42,-11.34,16.99,14.59,-46.75,-39.43,0.58,0.48,-1.1,2
41.66,4.7,-46.23,-0.67,0.12,0.61,-0.04,-0.03,1.0,3
52.05,-21.28,15.81,-57.01,26.25,-17.33,0.99,0.16,-0.16,0
53.17,-20.58,14.47,1.83,13.98,-35.1,0.76,-0.18,-0.11,0
42.53,5.11,-47.3,-0.85,-0.06,0.37,-0.04,-0.03,1.0,3
48.97,-7.71,23.89,-32.59,17.94,-34.73,0.93,0.31,-0.19,0
41.83,4.58,-47.58,-0.61,0.0,0.49,-0.04,-0.03,1.0,3
33.2,-37.77,-0.29,-37.9,42.72,-104.74,1.28,-0.5,-0.37,1
32.31,-37.4,0.07,-14.28,43.64,-84.11,1.81,-0.8,-0.43,1
49.46,-7.48,24.18,-18.68,4.88,3.72,0.73,0.48,-0.23,0
41.98,4.85,-46.84,-0.73,0.06,0.37,-0.04,-0.03,1.0,3
36.41,-37.33,-2.26,-23.5,12.27,-88.5,3.75,4.0,0.0,1
53.54,-26.79,13.4,55.42,-44.25,51.03,0.83,-0.07,-0.46,0
62.76,-21.12,0.99,-12.27,-6.29,66.35,0.63,1.04,0.13,2
49.35,-9.57,21.97,-31.49,7.02,-2.01,0.87,0.36,-0.29,0
50.94,-22.42,18.19,-101.38,49.13,-82.09,1.15,0.08,-0.56,0
56.31,-29.77,-0.33,4.39,-10.38,113.77,0.44,0.95,0.09,2
37.62,-36.8,-2.53,272.16,-50.72,40.83,0.28,-0.54,-0.45,1
33.35,-35.22,1.04,167.24,36.19,27.65,0.36,-0.79,-0.51,1
42.15,5.62,-46.5,-0.67,0.0,0.43,-0.04,-0.03,1.0,3
39.92,-37.43,3.09,-83.86,32.29,-163.33,1.25,1.4,0.54,1
48.6,-32.13,10.07,-60.67,-29.79,168.76,2.67,1.12,-0.2,1
24.28,-37.45,-5.94,14.1,10.07,73.85,-0.45,0.44,0.3,2
36.01,-37.52,1.56,-74.22,-40.95,156.19,0.02,-1.05,-0.3,1
38.35,-37.6,-0.18,68.3,-77.64,186.77,0.04,-1.07,-0.56,1
60.0,-24.38,3.17,-46.88,-3.48,-71.23,0.59,0.89,0.15,2
23.01,-37.95,-4.25,5.55,-3.97,-17.4,-0.54,0.53,0.33,2
16.7,-22.8,27.76,13.67,71.53,20.87,-0.71,0.42,-0.47,2
50.1,-22.03,17.9,37.66,1.16,52.61,0.99,0.21,-0.43,0
48.11,-36.25,9.13,-189.33,19.53,-123.29,-0.51,0.57,0.27,1
37.94,-38.37,2.89,-2.2,62.32,-146.91,2.48,2.98,0.07,1
41.91,4.36,-46.8,-0.61,0.06,0.37,-0.04,-0.03,1.0,3
42.27,4.58,-46.95,-0.61,0.0,0.43,-0.04,-0.03,1.0,3
52.7,-30.26,10.79,56.27,-8.54,28.87,0.81,1.87,0.19,1
42.14,4.81,-47.44,-0.79,0.06,0.49,-0.04,-0.03,1.0,3
28.59,-36.01,2.76,53.1,-11.05,253.91,0.46,-1.37,-0.4,1
42.15,5.43,-47.8,-0.79,0.06,0.49,-0.04,-0.03,1.0,3
49.77,-20.81,20.2,21.12,-14.1,44.43,0.94,0.07,-0.4,0
51.15,-21.77,16.08,10.62,-20.81,40.1,0.85,0.11,-0.32,0
52.0,-26.54,12.93,-85.33,60.42,-66.04,1.03,0.17,-0.42,0
48.56,-11.34,23.84,21.18,-34.06,55.05,1.21,0.42,-0.4,0
49.34,-12.74,21.9,15.38,-6.65,38.88,1.03,0.38,-0.36,0
42.3,4.91,-48.08,-0.85,0.0,0.37,-0.04,-0.03,1.0,3
52.37,-27.66,13.21,-48.4,18.55,24.72,-0.58,0.66,0.24,1
48.94,-18.33,21.22,92.35,-14.71,19.41,1.14,0.02,-0.38,0
50.67,-27.97,14.93,31.07,-44.86,63.72,0.68,0.0,-0.31,0
42.35,5.43,-46.81,-0.73,-0.12,0.43,-0.04,-0.03,1.0,3
23.85,-15.06,33.25,11.9,94.06,11.11,-0.51,0.29,-0.78,2
38.94,-20.85,30.69,7.87,64.88,21.48,-0.27,0.46,-0.82,2
50.52,-29.99,12.23,44.86,-51.15,72.81,0.71,-0.16,-0.48,0
50.65,-33.56,5.47,27.83,14.65,127.2,0.43,0.98,0.03,2
51.12,-18.09,19.34,-62.62,-4.64,-36.01,1.16,-0.27,-0.45,0
50.33,-30.58,12.56,-23.74,-1.34,-19.17,0.78,-0.17,-0.51,0
48.8,-33.98,7.53,-217.59,18.8,-242.61,0.26,0.96,0.26,1
32.51,-40.44,-2.5,4.21,9.4,57.86,-0.34,0.88,0.27,2
50.34,-21.34,19.71,-44.86,-0.79,-8.67,0.94,-0.11,-0.51,0
20.97,-18.71,31.93,13.12,66.96,34.79,-0.71,0.38,-0.67,2
59.53,-11.46,16.3,-8.24,36.68,14.16,0.33,0.35,-1.14,2
3.06,-14.99,23.57,7.93,-23.19,-1.59,-0.78,0.2,0.06,2
3.2,-22.25,17.44,-16.42,-45.35,-1.71,-0.84,0.25,0.08,2
42.1,5.41,-45.25,-0.73,0.06,0.37,-0.04,-0.03,1.0,3
41.54,4.57,-47.05,-0.67,0.06,0.61,-0.04,-0.03,1.0,3
52.81,-29.03,13.33,-48.16,-9.95,-6.96,0.97,-0.23,-0.68,0
45.62,-32.46,12.3,28.69,-33.33,182.13,1.48,0.72,-0.84,1
32.62,-24.15,30.52,-1.16,114.81,55.11,-0.23,0.5,-0.69,2
42.4,5.08,-46.62,-0.55,-0.06,0.49,-0.04,-0.03,1.0,3
51.01,-11.18,20.96,-27.22,6.96,-43.15,0.91,0.24,-0.12,0
32.75,-38.53,-0.81,13.12,49.32,-130.49,4.0,4.0,-0.39,1
62.9,-19.76,2.51,-6.04,-5.62,-14.71,0.7,1.08,0.14,2
33.63,-36.66,0.93,81.6,31.37,-1.28,0.46,-0.79,-0.6,1
38.33,-37.43,-0.61,-16.36,-5.31,-107.73,-0.09,0.78,0.18,2
51.55,-30.0,11.12,-38.94,54.14,-6.47,-0.52,0.78,0.25,1
31.46,-36.83,4.46,59.02,49.56,-52.86,0.62,-0.9,-0.25,1
31.14,-36.56,3.81,89.6,52.25,65.92,0.28,-0.62,-0.68,1
38.42,-36.88,-3.47,12.45,11.84,76.6,-0.18,0.76,0.21,2
44.7,-13.13,30.77,-3.78,107.67,23.86,0.11,0.27,-1.11,2
51.6,-27.36,15.11,-5.8,12.39,-3.85,0.86,-0.19,-0.56,0
3.22,-15.23,22.88,15.69,-30.09,9.64,-0.67,0.2,0.18,2
55.68,-15.33,22.72,12.7,65.31,11.41,0.39,0.36,-0.95,2
50.84,-30.21,11.1,25.02,-16.48,36.68,1.52,2.93,0.07,1
53.43,-21.57,14.5,-24.9,-20.51,13.79,0.9,0.07,-0.2,0
51.71,-31.37,8.37,-9.28,57.62,-79.96,-0.4,0.46,0.25,1
42.27,4.42,-47.31,-0.73,-0.12,0.49,-0.04,-0.03,1.0,3
51.88,-18.24,19.08,-68.24,18.62,-37.05,1.02,0.23,-0.13,0
51.05,-32.62,-2.7,1.28,7.2,-67.5,0.23,0.89,0.18,2
53.58,-19.18,16.53,-8.0,13.24,8.91,0.97,0.24,-0.17,0
47.52,-32.2,12.01,-3.66,-15.32,179.63,3.05,1.25,0.2,1
49.07,-16.17,22.47,-39.31,21.55,-50.66,1.03,0.21,-0.28,0
41.46,-37.19,4.9,257.2,-4.94,93.63,0.11,-0.5,-0.46,1
42.11,4.86,-47.36,-0.73,-0.06,0.24,-0.04,-0.03,1.0,3
48.67,-19.47,20.58,64.58,-9.89,46.08,0.91,-0.09,-0.44,0
45.41,-18.82,29.61,-21.97,-88.13,-46.33,0.01,0.44,-1.02,2
48.43,-7.35,23.9,12.39,-11.29,9.7,1.06,0.09,-0.69,0
42.25,5.05,-46.25,-0.79,0.06,0.43,-0.04,-0.03,1.0,3
41.99,4.99,-46.97,-0.55,0.06,0.43,-0.04,-0.03,1.0,3
33.02,-22.79,30.97,-13.18,-66.47,-23.99,-0.37,0.51,-0.73,2
47.79,-8.19,25.89,17.15,-15.99,94.42,0.94,0.06,-0.59,0
50.59,-4.2,21.29,10.5,13.79,6.9,0.76,0.38,-0.34,0
40.63,-17.13,31.41,-5.13,-103.15,-28.02,-0.23,0.41,-1.17,2
43.41,-17.02,31.86,-15.99,-103.94,-28.02,-0.07,0.43,-1.1,2
49.39,-14.69,22.05,-0.49,15.14,-53.22,1.0,0.4,-0.06,0
42.52,5.25,-46.62,-0.55,0.0,0.43,-0.04,-0.03,1.0,3
17.74,-30.33,19.63,17.64,80.44,74.16,-0.5,0.5,-0.16,2
41.99,4.81,-47.03,-0.73,-0.18,0.37,-0.04,-0.03,1.0,3
51.55,-29.96,10.03,-14.59,2.01,-25.33,0.93,-0.02,-0.43,0
53.05,-27.77,12.68,6.65,-15.14,92.77,3.95,0.81,-0.87,1
41.6,4.66,-47.58,-0.61,-0.06,0.43,-0.04,-0.03,1.0,3
49.12,-22.6,20.32,83.25,-10.8,39.06,1.03,0.02,-0.49,0
50.35,-13.76,21.42,19.96,3.6,29.79,1.11,0.09,-0.38,0
52.43,-17.49,25.57,1.1,66.28,16.11,0.17,0.39,-0.95,2
42.69,4.72,-46.57,-0.79,0.06,0.55,-0.04,-0.03,1.0,3
48.13,-14.69,23.27,51.64,0.79,34.48,1.04,0.07,-0.54,0
55.07,-27.01,11.16,-132.08,75.68,22.22,-0.57,0.94,0.41,1
42.09,5.29,-47.9,-0.79,0.06,0.43,-0.04,-0.03,1.0,3
33.72,-35.8,-5.48,-84.23,-65.12,146.55,0.42,-0.93,-0.41,1
42.25,4.54,-47.78,-0.67,-0.12,0.31,-0.04,-0.03,1.0,3
51.0,-19.59,20.91,32.17,-25.45,44.31,0.9,-0.22,-0.36,0
42.0,5.21,-46.59,-0.73,0.06,0.43,-0.04,-0.03,1.0,3
34.83,-37.26,-1.43,-9.16,2.38,16.3,1.32,-0.99,-0.22,1
50.61,-23.57,18.69,64.45,-37.05,52.19,1.1,0.01,-0.62,0
51.2,-14.82,20.25,-55.97,3.78,-21.06,0.96,0.25,-0.17,0
51.51,-28.72,12.04,-0.85,23.62,-3.05,-0.33,0.68,0.22,1
52.67,-18.57,24.98,-20.32,-76.6,-23.38,0.12,0.51,-1.1,2
42.09,4.72,-46.88,-0.79,-0.12,0.37,-0.04,-0.03,1.0,3
46.73,-33.87,7.42,35.1,-10.01,255.25,1.55,0.86,0.59,1
49.8,-30.9,9.36,1.83,-20.26,221.5,1.8,0.05,-0.67,1
52.56,-29.33,12.72,47.67,2.08,-23.62,-0.62,0.35,0.09,1
50.27,-31.76,10.41,14.16,10.56,60.24,1.22,2.57,0.26,1
39.76,-16.99,33.35,-0.67,-58.59,-29.3,-0.22,0.4,-1.03,2
42.02,5.14,-46.18,-0.79,-0.06,0.43,-0.04,-0.03,1.0,3
3.72,-15.22,23.96,32.23,53.41,-2.01,-0.73,0.18,0.06,2
42.14,4.9,-48.29,-0.67,-0.06,0.43,-0.04,-0.03,1.0,3
52.26,-24.48,14.83,-67.38,32.23,-69.03,0.88,0.0,-0.41,0
32.08,-36.6,2.65,0.24,4.21,149.66,0.32,-1.26,-0.52,1
50.84,-31.45,10.83,2.81,-4.15,-12.94,0.87,-0.09,-0.46,0
42.26,4.66,-46.7,-0.67,0.12,0.49,-0.04,-0.03,1.0,3
42.05,4.76,-46.06,-0.67,0.06,0.61,-0.04,-0.03,1.0,3
26.67,-37.39,-1.0,-106.75,22.03,-143.55,2.91,0.45,-0.88,1
51.94,-19.3,17.75,12.88,10.62,-49.5,1.15,0.11,-0.16,0
50.65,-23.03,16.43,-10.5,-7.57,-11.54,0.96,0.13,-0.33,0
50.37,-20.34,19.3,-57.07,12.94,-10.68,1.06,-0.09,-0.63,0
42.55,4.83,-47.38,-0.92,0.0,0.37,-0.04,-0.03,1.0,3
47.67,-34.51,11.01,0.37,23.32,73.61,1.75,3.46,0.4,1
60.4,-24.06,0.96,2.56,-9.64,90.88,0.64,0.91,0.1,2
54.21,-25.42,14.12,-26.06,1.16,45.47,-0.23,0.23,0.21,1
51.89,-20.1,17.26,71.9,-30.27,63.17,1.22,-0.03,-0.36,0
46.92,-15.17,29.75,-13.98,-70.5,-6.84,-0.05,0.36,-1.12,2
49.52,-34.27,5.24,-136.54,35.03,-215.7,-0.15,1.28,0.33,1
49.8,-11.27,23.01,-3.85,2.01,-54.81,0.95,0.24,-0.12,0
59.5,-17.41,16.03,0.43,-31.01,-4.21,0.45,0.4,-0.91,2
52.34,-27.31,13.73,46.51,-17.58,73.0,0.81,1.66,0.21,1
41.99,5.02,-47.3,-0.61,0.0,0.49,-0.04,-0.03,1.0,3
49.63,-14.21,22.95,39.0,-22.64,48.71,1.03,-0.19,-0.56,0
42.65,5.37,-46.62,-0.61,-0.06,0.49,-0.04,-0.03,1.0,3
51.35,-29.5,10.64,-8.79,10.07,40.04,0.56,1.03,0.31,1
49.07,-28.08,15.21,-0.73,-10.31,-20.26,0.79,-0.04,-0.38,0
42.68,5.14,-47.77,-0.61,-0.06,0.49,-0.04,-0.03,1.0,3
51.28,-30.03,10.74,-32.78,16.17,-11.47,-0.6,0.98,0.19,1
42.49,4.37,-47.12,-0.73,0.06,0.43,-0.04,-0.03,1.0,3
36.11,-35.6,0.33,-16.11,20.57,-89.54,3.22,3.41,-0.45,1
50.15,-30.53,12.15,-12.94,30.09,22.34,-0.86,0.42,-0.01,1
54.64,-13.77,25.13,-4.88,77.51,26.18,0.27,0.44,-0.99,2
41.78,4.65,-47.63,-0.61,-0.06,0.43,-0.04,-0.03,1.0,3
30.21,-36.85,4.53,94.73,101.07,42.66,0.52,-0.3,-0.52,1
42.54,5.27,-47.39,-0.79,0.0,0.43,-0.04,-0.03,1.0,3
49.78,-24.44,17.6,-71.35,18.07,-50.05,0.9,0.19,-0.43,0
28.21,-16.64,34.86,-4.52,-127.2,-18.31,-0.37,0.41,-0.96,2
43.82,-36.91,3.66,-190.67,16.11,-374.63,0.64,1.46,0.34,1
47.52,-8.72,25.68,17.33,-14.4,41.38,1.16,0.26,-0.54,0
41.94,4.74,-46.79,-0.49,0.0,0.24,-0.04,-0.03,1.0,3
39.12,-37.78,4.04,-139.22,49.93,-205.14,0.87,1.35,0.25,1
41.8,5.0,-47.19,-0.49,-0.12,0.43,-0.04,-0.03,1.0,3
51.32,-30.21,13.02,1.77,-8.06,20.63,0.76,-0.01,-0.4,0
48.89,-7.14,22.72,30.76,24.6,-3.3,1.04,0.33,-0.4,0
50.46,-26.79,12.92,21.79,0.12,15.38,0.76,0.03,-0.26,0
42.76,-36.52,8.85,56.46,21.79,200.01,2.55,1.04,-0.04,1
52.42,-28.82,14.03,-62.44,8.61,-28.2,0.9,-0.04,-0.5,0
11.28,-17.19,28.55,-9.83,-99.24,-8.0,-0.54,0.31,-0.14,2
51.94,-28.04,12.6,49.44,-47.36,115.6,3.33,0.87,-0.41,1
50.77,-28.34,14.21,3.85,-13.98,-9.58,0.76,-0.26,-0.53,0
49.62,-20.32,20.95,18.37,-3.78,10.56,0.74,-0.09,-0.36,0
48.91,-9.77,23.34,-18.98,23.74,-40.83,0.87,0.19,-0.28,0
44.56,-13.15,32.62,-0.24,90.33,14.1,-0.05,0.27,-1.09,2
49.41,-32.92,8.22,153.99,-22.16,63.48,1.34,0.54,-0.21,1
50.68,-16.36,21.0,-19.35,45.41,-83.56,0.94,0.17,-0.19,0
42.61,5.11,-47.71,-0.79,0.0,0.55,-0.04,-0.03,1.0,3
53.25,-25.65,15.87,8.18,-5.98,-3.85,0.76,-0.21,-0.48,0
48.54,-31.96,10.94,-89.66,28.14,-76.11,-0.47,0.34,0.38,1
51.04,-24.51,15.84,3.66,-20.45,46.94,0.72,-0.03,-0.41,0
54.1,-24.49,16.08,27.4,-61.4,78.86,0.78,-0.2,-0.44,0
42.21,4.38,-46.95,-0.67,-0.06,0.43,-0.04,-0.03,1.0,3
50.34,-22.19,18.26,4.46,-28.81,38.09,0.84,-0.06,-0.41,0
28.77,-35.88,-0.39,27.83,2.26,-39.49,0.65,-0.4,-0.42,1
52.54,-27.34,13.48,20.2,-51.33,56.46,0.65,-0.33,-0.49,0
42.57,5.66,-46.35,-0.79,-0.06,0.37,-0.04,-0.03,1.0,3
42.05,4.65,-47.84,-0.73,0.0,0.55,-0.04,-0.03,1.0,3
23.46,-22.36,29.58,10.5,69.82,18.13,-0.66,0.46,-0.63,2
51.05,-25.44,14.93,-50.6,9.4,-31.56,1.04,-0.16,-0.48,0
7.09,-15.25,26.0,-5.13,-81.05,-10.68,-0.72,0.23,-0.24,2
50.63,-29.8,10.93,-54.87,35.1,-65.19,1.26,-0.06,-0.48,0
37.1,-37.19,-0.06,-8.3,44.13,-118.9,4.0,4.0,-0.88,1
46.84,-35.88,11.38,7.93,14.47,76.23,0.68,2.6,0.19,1
50.73,-25.09,15.99,49.07,-37.48,80.69,0.83,-0.19,-0.43,0
49.56,-17.86,19.91,60.97,-16.6,34.3,0.96,-0.07,-0.35,0
50.61,-14.42,20.61,-8.36,12.57,-16.17,0.83,0.27,-0.14,0
42.54,4.97,-46.53,-0.85,0.0,0.49,-0.04,-0.03,1.0,3
0.74,-13.89,19.76,13.12,-39.18,-6.23,-0.75,0.16,0.15,2
49.8,-18.76,19.8,43.21,-8.0,34.42,0.95,0.48,-0.16,0
51.82,-31.63,5.59,-12.57,32.65,-108.34,-0.35,0.95,0.23,1
50.52,-17.8,19.89,-5.37,26.98,-76.9,1.26,-0.05,-0.41,0
42.63,5.08,-47.5,-0.79,0.0,0.43,-0.04,-0.03,1.0,3
49.76,-27.42,15.34,-52.67,-1.4,-31.92,0.98,-0.08,-0.53,0
50.27,-15.69,22.39,-52.98,14.77,-65.19,1.08,0.14,-0.17,0
51.71,-29.22,11.82,71.35,92.9,-35.77,-0.25,0.76,0.47,1
50.57,-31.18,9.24,-6.35,-4.7,10.62,0.66,0.04,-0.33,0
49.11,-33.0,7.5,-27.22,29.66,235.9,1.83,0.98,0.38,1
59.28,-10.46,18.02,-15.5,19.41,2.99,0.38,0.5,-1.17,2
41.6,4.98,-47.3,-0.79,-0.06,0.31,-0.04,-0.03,1.0,3
50.2,-12.51,22.45,-0.85,-32.9,0.73,1.41,-0.04,-0.37,0
51.33,-19.48,20.28,-124.08,55.05,-16.66,0.74,-0.01,-0.48,0
50.12,-24.1,20.4,-320.19,-14.71,37.78,-0.34,1.02,-0.04,1
49.95,-24.57,17.8,52.49,-37.05,52.06,0.84,-0.13,-0.48,0
50.18,-12.67,21.55,-9.77,27.16,-39.12,0.88,0.41,-0.16,0
45.06,-35.99,4.81,-217.16,8.97,-225.46,1.02,1.8,0.09,1
29.61,-35.53,0.63,126.16,-84.96,211.91,0.21,-1.28,-0.26,1
51.15,-31.35,8.23,-37.05,-6.04,-30.03,0.91,-0.12,-0.48,0
34.03,-37.87,-4.06,-36.5,-1.83,-18.49,4.0,1.26,-0.86,1
50.72,-33.33,2.87,18.55,10.86,124.94,0.42,0.97,0.1,2
42.59,4.72,-47.18,-0.67,0.0,0.55,-0.04,-0.03,1.0,3
50.18,-17.49,20.25,-23.5,3.42,-27.71,1.12,0.15,-0.23,0
49.48,-28.77,14.54,42.48,-109.99,203.67,3.19,1.46,0.28,1
49.27,-10.14,23.47,26.67,-10.62,2.08,1.1,0.27,-0.4,0
51.92,-23.07,15.69,11.96,-4.52,12.33,0.83,0.17,-0.22,0
14.78,-35.73,-3.81,3.6,-7.2,-41.93,-0.76,0.41,0.28,2
41.87,4.75,-45.69,-0.67,0.0,0.43,-0.04,-0.03,1.0,3
49.0,-13.5,21.25,27.16,-6.96,67.93,0.91,0.14,-0.44,0
31.45,-37.65,-2.33,-1.65,-13.06,-67.2,1.05,-0.76,-0.44,1
56.03,-27.76,6.76,24.48,2.62,88.01,1.54,1.8,0.8,1
32.95,-37.46,0.38,-47.06,44.31,-195.92,4.0,3.56,-0.25,1
51.98,-18.02,19.89,101.38,-5.07,32.65,1.23,-0.09,-0.49,0
52.17,-23.52,17.59,-21.0,52.0,-92.65,1.3,0.15,-0.44,0
41.74,5.03,-48.11,-0.67,0.0,0.49,-0.04,-0.03,1.0,3
44.85,-34.01,10.14,36.74,-81.73,190.92,1.33,0.68,-0.54,1
41.87,4.94,-46.96,-0.92,0.06,0.43,-0.04,-0.03,1.0,3
51.04,-25.92,15.59,66.77,-39.06,53.65,0.4,0.87,0.34,1
29.37,-38.54,4.03,49.87,53.77,114.99,0.42,-1.2,-0.52,1
51.56,-27.03,14.69,-9.64,-0.37,-18.01,0.87,-0.03,-0.47,0
50.04,-8.69,23.6,-44.92,3.36,-40.34,0.85,0.15,-0.29,0
41.43,4.46,-47.17,-0.67,0.06,0.31,-0.04,-0.03,1.0,3
40.42,-37.51,-3.23,9.16,13.0,90.94,-0.1,0.85,0.18,2
48.05,-32.26,11.08,3.42,16.24,2.56,0.62,-0.07,-0.38,0
42.1,5.03,-46.4,-0.55,-0.06,0.55,-0.04,-0.03,1.0,3
17.38,-25.72,26.15,45.65,56.88,14.16,-0.58,0.5,-0.28,2
49.67,-23.51,18.92,26.18,-27.22,47.55,0.85,0.02,-0.35,0
53.31,-30.75,-1.0,-19.84,6.96,-80.38,0.28,0.99,0.19,2
51.2,-19.04,19.85,-56.58,21.91,-47.12,0.97,0.25,-0.24,0
17.11,-22.83,27.72,-6.77,-67.81,-12.21,-0.65,0.38,-0.39,2
49.52,-12.79,22.47,-9.28,34.3,-52.98,0.91,0.36,-0.12,0
42.85,4.9,-46.2,-0.73,-0.06,0.37,-0.04,-0.03,1.0,3
26.0,-19.93,32.62,7.45,65.73,25.33,-0.47,0.38,-0.79,2
51.15,-28.39,13.72,-9.03,-38.33,83.07,1.88,2.99,0.07,1
42.5,4.6,-47.69,-0.79,-0.06,0.55,-0.04,-0.03,1.0,3
50.5,-12.54,22.63,-46.26,38.82,-17.52,1.1,0.1,-0.31,0
47.69,-2.61,22.39,-37.72,10.99,-4.15,0.82,0.3,-0.3,0
50.38,-17.92,20.78,69.34,-55.6,59.45,1.04,-0.2,-0.49,0
47.97,-8.73,23.68,6.1,10.38,-37.66,0.95,0.43,-0.33,0
59.73,-17.19,16.66,-0.06,55.73,15.5,0.45,0.46,-0.88,2
48.21,-7.19,25.52,25.39,-10.74,59.51,1.15,0.15,-0.61,0
35.83,-37.35,-2.03,-10.19,-9.95,-62.26,-0.3,0.78,0.2,2
3.21,-17.49,21.28,8.12,72.88,21.79,-0.79,0.32,-0.09,2
47.06,-34.42,-3.14,30.64,5.0,68.48,0.06,0.91,0.18,2
48.79,-12.34,22.24,-4.94,-0.37,32.17,1.1,0.21,-0.5,0
56.36,-28.71,-3.32,-5.74,11.17,-103.21,0.49,1.04,0.15,2
32.35,-15.7,35.64,3.78,-115.48,-22.4,-0.26,0.36,-0.88,2
44.08,-35.69,0.26,1.65,-9.95,-78.61,0.02,0.9,0.1,2
51.49,-27.11,14.58,-70.07,25.15,-36.07,0.91,0.05,-0.39,0
42.43,4.64,-47.61,-0.55,0.06,0.49,-0.04,-0.03,1.0,3
32.81,-37.44,3.85,-23.74,57.98,-104.8,1.98,-0.81,-0.1,1
19.87,-36.35,-5.88,5.13,-4.27,5.37,-0.59,0.23,0.39,2
27.01,-37.63,0.85,53.65,4.88,-3.36,1.22,-0.77,-0.31,1
43.68,-24.6,28.3,13.37,77.94,22.22,-0.16,0.58,-0.9,2
20.51,-16.74,32.26,8.85,97.11,17.15,-0.52,0.3,-0.63,2
48.82,-8.86,24.44,-11.9,10.25,-45.1,0.88,0.38,-0.17,0
28.65,-37.88,-3.5,5.37,-1.1,-26.25,-0.52,0.76,0.23,2
