mX,mY,mZ,gX,gY,gZ,aX,aY,aZ,label
47.24,-9.16,23.23,14.59,-9.28,48.34,1,0.17,-0.49,walking
47.75,-12.9,23.22,54.2,5.07,36.56,0.92,0.06,-0.46,walking
48.33,-19.15,21.06,37.78,-15.5,16.72,0.92,-0.02,-0.51,walking
48.38,-22.02,19.35,19.47,-8.73,29.42,0.79,0.02,-0.43,walking
48.24,-23.05,18.98,3.66,-2.62,6.41,0.79,-0.05,-0.39,walking
49.11,-23.07,18.43,-24.35,-2.93,-24.17,0.99,-0.07,-0.5,walking
49.22,-18.99,20.68,-53.1,7.32,-39,0.75,0.13,-0.36,walking
48.6,-14.23,22,-13.06,3.97,-39.92,1.23,-0.04,-0.38,walking
49.35,-10.55,22.64,-29.17,5.13,-17.64,0.88,0.2,-0.25,walking
48.21,-9.14,22.4,-10.99,24.6,-28.81,0.86,0.12,-0.24,walking
47.57,-7.85,22.88,-5.92,10.68,12.39,0.87,0.2,-0.4,walking
48.17,-8.8,23.34,18.74,-17.58,30.76,1.03,0.15,-0.43,walking
49.83,-13.29,20.39,34.36,-26.06,50.35,0.79,0.12,-0.36,walking
50.89,-18.76,18.3,105.65,-32.9,11.29,1.03,0.05,-0.38,walking
51.15,-21.77,16.08,10.62,-20.81,40.1,0.85,0.11,-0.32,walking
51.66,-24.96,14.5,25.09,-5.68,15.32,0.73,-0.04,-0.34,walking
51.22,-26.05,13.45,9.28,10.5,-24.9,0.96,-0.04,-0.32,walking
52.01,-22.18,15.99,-29.6,7.81,-39.18,1.04,-0.03,-0.33,walking
53.33,-18.52,17.33,-35.83,3.91,-21.24,0.81,0.15,-0.12,walking
52.78,-16.09,17.93,-36.62,27.47,-38.76,1.19,-0.01,-0.25,walking
52.42,-12.82,19.02,-15.08,13.12,-26.25,0.87,0.2,-0.2,walking
51.18,-11.19,20.79,-3.11,19.29,-14.53,0.88,0.24,-0.13,walking
50.1,-10.96,22.3,26.92,8.3,-4.46,0.96,0.21,-0.27,walking
50.35,-13.76,21.42,19.96,3.6,29.79,1.11,0.09,-0.38,walking
49.6,-15.49,21.56,17.94,-6.41,52.37,0.87,0.14,-0.32,walking
50.46,-19.63,18.63,61.95,-17.4,12.27,1.05,-0.05,-0.37,walking
51.2,-22.47,15.76,7.26,-17.94,31.13,0.8,0.03,-0.35,walking
50.96,-24.61,16.09,0.06,-1.28,23.68,0.71,-0.02,-0.34,walking
50.66,-25.31,14.51,-9.89,6.53,-14.22,0.9,-0.05,-0.4,walking
50.71,-21.5,18.73,-50.6,8.42,-24.35,0.99,0.01,-0.42,walking
50.45,-18.62,19.56,-19.84,0.18,-21.12,0.95,0.12,-0.21,walking
50.95,-16.11,20.06,-55.85,5.43,-12.57,1.06,0.14,-0.27,walking
50.56,-12.72,21.44,-11.05,8.24,-27.95,0.84,0.2,-0.21,walking
50.52,-11.25,22.69,-10.93,7.26,-4.46,0.84,0.29,-0.19,walking
49.98,-11.3,21.87,12.63,6.1,11.78,1.07,0.14,-0.36,walking
49.95,-12.95,21.77,18.43,-2.01,28.2,0.96,0.24,-0.37,walking
49.21,-15.86,20.87,79.59,-4.27,0.79,1.08,0.04,-0.34,walking
50.21,-20.37,18.66,52.12,-15.14,17.46,1,0.1,-0.35,walking
50.4,-25.29,16.41,29.6,-18.07,40.16,0.8,0.02,-0.34,walking
50.34,-26.82,14.65,10.25,-13.18,9.89,0.84,-0.01,-0.35,walking
49.51,-26.43,13.64,-30.94,1.89,-11.11,0.9,0.02,-0.38,walking
50.71,-23.23,16.53,-50.42,3.3,-33.75,0.89,0.14,-0.27,walking
50.68,-19.9,18.57,-31.74,5.13,-20.32,1.02,0.11,-0.29,walking
50.5,-16.05,20.62,-35.95,11.17,-22.58,0.91,0.17,-0.24,walking
50.61,-13.6,21.39,-11.41,22.58,-27.53,0.93,0.22,-0.25,walking
49.94,-12.19,22.4,-12.02,14.77,1.77,0.85,0.26,-0.19,walking
49.51,-12.18,22.61,9.58,6.53,9.52,1.09,0.23,-0.3,walking
48.66,-13.62,21.75,8.42,-3.85,38.09,0.93,0.19,-0.35,walking
49.22,-17.41,21.4,69.95,-2.38,9.34,1.03,0.08,-0.37,walking
49.4,-21.75,18.66,22.46,-16.36,32.78,0.94,0.05,-0.39,walking
50.13,-24.13,16.82,14.95,-14.28,24.9,0.78,-0.02,-0.35,walking
49.77,-25.24,16.82,-4.09,-1.65,-4.58,0.82,0.03,-0.35,walking
50.26,-23.44,17.19,-35.46,-0.06,-15.32,0.99,-0.02,-0.47,walking
51.01,-19.27,18.05,-34.12,6.9,-17.64,0.8,0.17,-0.22,walking
51.1,-16.58,19.86,-52.06,7.26,-9.89,1.09,0.13,-0.29,walking
50.15,-14.36,20.9,-17.88,3.48,-9.28,0.86,0.2,-0.18,walking
50.28,-13.22,20.65,-27.65,-3.05,-0.73,0.93,0.23,-0.17,walking
49.6,-11.66,22.88,3.72,5.19,2.56,0.94,0.25,-0.26,walking
49.74,-12.62,21.66,-10.93,1.16,28.5,1.08,0.23,-0.36,walking
49.21,-15.04,22.55,21.79,4.15,36.62,0.95,0.26,-0.38,walking
49.27,-18.35,20.52,39.31,-7.69,39.49,0.94,0.19,-0.39,walking
49.43,-22.73,18.95,28.99,-13.24,37.48,0.83,0.09,-0.31,walking
48.12,-26.61,16.77,14.83,-10.07,24.05,0.74,0.04,-0.33,walking
48.28,-26.83,16.63,-16.11,-0.55,-4.82,0.93,0.04,-0.36,walking
48.95,-24.63,17.97,-38.33,-0.79,-31.68,0.88,0.13,-0.28,walking
50.15,-21.3,18.33,-42.6,4.82,-26.86,1.04,0.19,-0.33,walking
50.04,-15.6,21.28,-23.01,0.24,-23.99,0.94,0.31,-0.19,walking
50.29,-13.75,21.07,-41.93,-2.44,-4.33,0.84,0.24,-0.21,walking
50.17,-11.45,22.13,-18.55,6.16,-6.9,0.84,0.29,-0.26,walking
49.68,-10.22,22.19,-3.17,8.24,2.56,1.02,0.21,-0.33,walking
49.23,-11.02,22.46,8.3,1.28,7.51,0.88,0.27,-0.32,walking
48.52,-12.61,21.42,61.22,6.04,-4.94,1.07,0.28,-0.37,walking
49.5,-17.27,21.3,40.41,-5.74,28.99,0.92,0.09,-0.38,walking
49.62,-20.32,20.95,18.37,-3.78,10.56,0.74,-0.09,-0.36,walking
50.06,-21.07,19.48,6.29,-4.03,-15.08,0.91,-0.07,-0.39,walking
50.26,-19.07,20.2,-28.87,4.58,-31.49,0.87,0.1,-0.29,walking
50.78,-15.27,21.04,-35.16,0.61,-4.7,1.11,0.06,-0.33,walking
50.45,-13.66,21.24,-9.89,-0.73,-8.42,0.91,0.26,-0.19,walking
50.33,-12.93,20.65,-8.3,3.23,-4.52,0.88,0.21,-0.16,walking
50.59,-12.57,23.3,10.56,9.7,2.5,0.82,0.19,-0.23,walking
50.55,-13.94,20.64,18.01,11.35,0.98,1.02,0.17,-0.37,walking
49.55,-15.7,21.7,36.74,4.15,9.22,0.99,0.3,-0.33,walking
49.68,-19.25,21.81,41.56,-10.5,14.16,0.96,0.12,-0.33,walking
49.44,-20.87,19.4,27.16,-6.47,17.76,0.85,0.11,-0.33,walking
50.24,-23.23,18.97,1.65,-5.13,14.83,0.8,0.05,-0.28,walking
49.62,-23.4,16.37,-20.08,-3.36,-9.64,0.96,-0.08,-0.37,walking
50.34,-18.8,20.78,-59.27,-0.31,-27.53,0.89,0.04,-0.35,walking
49.93,-15.19,20.42,-49.07,5.25,-25.21,1.1,-0.11,-0.29,walking
50.29,-9.47,22.91,-32.35,0.85,-58.17,1.03,0.21,-0.2,walking
50.38,-6.09,21.83,-36.68,-3.42,-22.77,0.86,0.33,-0.26,walking
50.59,-4.2,21.29,10.5,13.79,6.9,0.76,0.38,-0.34,walking
49.46,-6.46,24.13,42.11,20.39,19.59,1.15,0.23,-0.45,walking
49.4,-12.61,22.19,91.43,8.73,30.15,1.15,-0.05,-0.46,walking
49.56,-17.86,19.91,60.97,-16.6,34.3,0.96,-0.07,-0.35,walking
50.55,-22.83,17.38,18.98,-14.53,41.44,0.79,-0.1,-0.35,walking
49.58,-25.22,18.24,7.63,-5.25,-0.79,0.8,-0.2,-0.39,walking
50.04,-21.92,18.53,-70.43,4.76,-22.64,0.97,-0.15,-0.54,walking
50.32,-17.31,20.36,-31.49,9.77,-48.77,1.06,-0.02,-0.34,walking
50.43,-12.1,22.31,-66.71,0.92,-41.32,0.98,0.22,-0.28,walking
49.78,-7.1,21.7,-30.33,-1.22,-35.46,0.89,0.3,-0.25,walking
49.87,-4.9,22.07,-16.97,6.35,5.43,0.77,0.46,-0.29,walking
49.27,-6.13,22.94,48.71,21.36,6.41,1.08,0.31,-0.47,walking
49.28,-10.34,22.89,71.66,6.84,32.23,1.04,0.02,-0.52,walking
49.34,-16.78,21.47,68.12,-8.91,16.85,0.93,-0.17,-0.44,walking
49.84,-20.48,19.13,23.32,-14.71,17.46,0.8,-0.18,-0.43,walking
49.78,-22.25,17.54,10.93,-5.37,-3.17,0.85,-0.16,-0.46,walking
50.34,-21.34,19.71,-44.86,-0.79,-8.67,0.94,-0.11,-0.51,walking
49.95,-18.65,21.77,-28.93,6.84,-16.42,1.07,-0.12,-0.39,walking
49.23,-15.04,21.28,-25.51,8.24,-36.01,0.95,0.16,-0.22,walking
49.23,-12.56,22.85,-16.54,-0.12,-35.89,0.89,0.19,-0.19,walking
49.79,-9.92,22.55,-6.65,0.12,-7.14,0.85,0.38,-0.32,walking
48.69,-10.13,23.94,3.72,15.32,1.28,1.08,0.17,-0.41,walking
48.5,-11.45,23.56,18.62,-2.69,37.11,0.83,0.12,-0.41,walking
49.12,-15.03,21.69,61.58,-8.3,16.66,1.11,0.09,-0.46,walking
49.5,-19.91,20.25,30.88,-9.16,48.52,0.85,-0.18,-0.39,walking
49.38,-22.73,18.65,13.67,-12.27,14.71,0.69,-0.18,-0.38,walking
50.15,-23.05,17.76,-38.82,3.78,-7.81,0.94,-0.27,-0.6,walking
49.63,-20.03,18.73,-2.44,2.99,-20.02,0.88,0.04,-0.33,walking
49.5,-15.86,21,-52.49,9.77,-17.52,1,0.07,-0.36,walking
49.76,-13.95,22.27,-7.75,-4.09,-27.95,0.88,0.1,-0.2,walking
49.34,-11.73,22.06,-26.06,-0.31,-10.07,0.81,0.24,-0.2,walking
49.26,-11.07,22.27,-5.25,2.69,-5.19,1.26,0.2,-0.33,walking
48.47,-11.25,23.39,-3.97,-2.56,50.84,0.81,0.36,-0.41,walking
48.46,-14.33,22.88,96.07,-4.09,18.31,1.11,0.28,-0.47,walking
48.82,-23.86,19.62,73.55,-16.91,47.06,0.95,0,-0.44,walking
49.04,-28.26,14.62,41.99,-17.88,30.88,0.7,-0.11,-0.43,walking
48.99,-30.3,11.21,3.48,-7.75,-1.83,0.74,-0.16,-0.52,walking
49.76,-28.61,14.18,-59.33,-7.45,-26.37,0.82,-0.06,-0.41,walking
50.11,-24.63,16.02,-30.09,16.72,-58.78,1.13,0,-0.42,walking
51.2,-19.04,19.85,-56.58,21.91,-47.12,0.97,0.25,-0.24,walking
49.63,-12.88,21.03,-23.99,16.24,-47.18,0.88,0.27,-0.15,walking
49,-10.52,22.88,-15.87,10.07,-6.53,0.96,0.53,-0.26,walking
49.11,-11.78,23.47,12.82,3.54,21,1.19,0.4,-0.45,walking
49.23,-14.97,22.17,28.02,-17.76,78.74,0.91,0.17,-0.39,walking
49.29,-20.54,20.79,93.57,-26.25,28.75,1.12,0,-0.45,walking
49.98,-26.57,16.05,39.73,-24.05,44.13,0.78,-0.09,-0.39,walking
48.85,-29.9,13.28,2.38,-4.7,6.29,0.66,-0.07,-0.36,walking
49.87,-28.37,12.98,-53.1,5.55,-21.91,0.99,-0.05,-0.54,walking
50,-24.07,18.3,-40.59,15.26,-27.1,0.9,0.18,-0.34,walking
49.4,-20.07,19.84,-67.99,26.86,-39.12,1.1,0.02,-0.36,walking
49.23,-14.42,21.23,-31.01,14.16,-53.59,0.84,0.12,-0.2,walking
48.77,-10.52,22.9,-21,4.64,-42.18,0.94,0.42,-0.21,walking
47.45,-8.52,24.41,20.2,3.05,-17.94,1.33,0.3,-0.22,walking
47.78,-8.94,25.37,-11.05,-3.3,51.21,0.86,0.43,-0.43,walking
48.52,-13.64,22.8,86.91,-5.25,24.05,1.11,0.05,-0.52,walking
48.67,-19.47,20.58,64.58,-9.89,46.08,0.91,-0.09,-0.44,walking
49.21,-25.28,17.46,37.41,-12.33,20.02,0.73,-0.19,-0.38,walking
49.79,-27.06,15.93,-32.47,4.21,-6.77,0.94,-0.26,-0.53,walking
50.43,-22.13,18.6,-33.81,7.26,-43.88,0.73,0.18,-0.34,walking
50.1,-19.23,19.34,-50.72,23.44,-26.12,1.17,-0.02,-0.49,walking
49.43,-16.13,22.81,-28.44,11.78,-25.39,0.93,0.13,-0.14,walking
49.56,-12.99,22.39,-2.56,4.88,-45.65,0.85,0.26,-0.17,walking
49.89,-11.06,22.24,10.8,5.68,-12.76,1,0.28,-0.33,walking
49.48,-11.61,22.8,-8.48,8.79,31.74,1,0.19,-0.43,walking
49.6,-14.59,21.75,58.41,-3.36,13.37,0.97,0.19,-0.43,walking
50.17,-19.1,18.92,46.88,-16.11,38.94,1.05,0.1,-0.41,walking
50.98,-23.86,16.19,34.06,-35.22,53.04,0.81,-0.1,-0.35,walking
50.56,-26.66,12.84,5.98,-19.29,27.16,0.75,-0.15,-0.4,walking
50.6,-27.36,13.88,-31.68,-3.66,-12.63,0.93,-0.17,-0.43,walking
50.96,-24.55,16.3,-33.81,11.78,-18.07,0.9,0.11,-0.29,walking
51.31,-20.01,19.34,-51.45,17.52,-23.99,1.02,0.1,-0.3,walking
50.89,-16.72,21.31,-15.01,5.8,-37.17,0.86,0.13,-0.18,walking
50.42,-13.89,20.4,-15.93,11.47,-21.61,0.82,0.28,-0.14,walking
49.78,-12.45,22.61,-3.48,15.93,-9.7,1.13,0.33,-0.29,walking
49.34,-12.74,21.9,15.38,-6.65,38.88,1.03,0.38,-0.36,walking
49.17,-16.43,21.24,73.18,2.08,24.72,1.1,0.14,-0.37,walking
50.23,-20.45,17.44,46.57,-17.21,39.25,1.01,0.05,-0.38,walking
50.4,-26.44,15.21,34.67,-17.76,30.58,0.71,-0.13,-0.33,walking
51,-27.78,13.9,10.99,-7.2,-10.56,0.83,-0.07,-0.41,walking
51.64,-26.29,12.87,-48.34,-4.58,-23.01,1.08,-0.06,-0.5,walking
51.37,-23.22,15.78,3.3,-2.56,-35.16,0.97,0.16,-0.23,walking
52.05,-21.28,15.81,-57.01,26.25,-17.33,0.99,0.16,-0.16,walking
52.27,-17.9,16.88,-19.17,15.87,-27.83,0.85,0.23,-0.12,walking
51.5,-15.56,20.52,-8.36,13.12,-7.87,0.77,0.36,-0.1,walking
50.96,-16.05,19.17,25.94,11.9,-0.55,1.14,0.36,-0.31,walking
50.88,-17.21,19.32,29.97,-14.53,53.34,1.05,0.39,-0.22,walking
51.11,-22.47,17.3,81.48,-13.12,24.84,1.14,0.04,-0.36,walking
50.94,-26.56,13.33,25.02,-15.56,38.21,0.83,0.01,-0.3,walking
50.77,-29.71,11.16,17.94,-5.43,11.47,0.65,-0.04,-0.31,walking
51.55,-29.96,10.03,-14.59,2.01,-25.33,0.93,-0.02,-0.43,walking
51.6,-25.82,13.65,-76.6,18.98,-48.77,1.02,0.16,-0.41,walking
50.96,-21.36,17.31,-17.52,27.16,-41.75,1.08,0.07,-0.29,walking
50.73,-18.42,19.49,-59.08,14.95,-16.72,0.93,0.19,-0.22,walking
50.31,-14.98,19.96,-9.64,19.35,-36.8,0.86,0.22,-0.16,walking
49.99,-13.53,21.59,-26.86,-10.74,0.49,0.91,0.39,-0.22,walking
49.56,-13.17,22.07,24.54,4.76,19.23,1.21,0.43,-0.37,walking
49.43,-17.19,21.3,25.82,-5.68,71.59,0.94,0.27,-0.34,walking
49.57,-22.35,19.7,89.97,-8.42,26.73,1.14,-0.04,-0.43,walking
50.24,-27.06,13.95,41.75,-18.62,41.69,0.94,0.02,-0.39,walking
48.9,-31.05,11.3,12.94,-8.54,29.17,0.69,-0.08,-0.34,walking
48.46,-32.23,9.69,-15.14,-5,-27.28,0.91,-0.05,-0.44,walking
50.46,-26.29,15.72,-88.44,8.91,-50.35,0.93,0.17,-0.42,walking
50.33,-20.4,18.19,-32.71,23.99,-58.53,1.26,0.13,-0.33,walking
50.44,-15.97,21.47,-32.71,24.11,-59.39,0.93,0.32,-0.19,walking
50.18,-12.67,21.55,-9.77,27.16,-39.12,0.88,0.41,-0.16,walking
49.6,-10.62,21.46,-3.42,3.72,4.7,0.99,0.38,-0.22,walking
49.67,-11.52,21.77,11.17,-2.75,41.26,1.17,0.15,-0.38,walking
49.79,-16.67,21.77,45.47,-13.43,46.39,1.03,-0.02,-0.45,walking
50.45,-21.15,19.12,18.31,-27.77,67.2,1.03,-0.03,-0.43,walking
50.33,-24.55,15.93,8.36,-22.77,48.83,0.74,-0.25,-0.36,walking
50.37,-25.56,15.77,10.68,-2.56,-8.67,0.79,-0.02,-0.38,walking
50.78,-25.22,16.42,-22.16,-7.2,-15.99,1.08,-0.07,-0.49,walking
51.07,-22.16,17.11,-38.39,15.32,-14.89,0.78,0.09,-0.3,walking
50.7,-19.32,18.66,-26,7.81,-38.45,1.13,0.01,-0.29,walking
49.9,-14.94,20.56,-12.51,12.33,-38.27,0.86,0.25,-0.16,walking
50.02,-13.24,20.8,0.85,16.6,-27.4,0.83,0.3,-0.12,walking
49.65,-12.59,22.08,33.2,16.54,-10.13,1.07,0.29,-0.34,walking
49.06,-14.1,20.95,-5.74,-6.23,38.33,0.96,0.31,-0.36,walking
49.38,-16.69,21.35,61.52,-4.88,11.9,1.19,0.03,-0.43,walking
49.77,-20.81,20.2,21.12,-14.1,44.43,0.94,0.07,-0.4,walking
50.39,-24.62,16.5,20.14,-21.79,32.29,0.76,0.03,-0.39,walking
50.1,-26.57,15.01,9.64,-0.73,-8.61,0.91,-0.17,-0.47,walking
50.07,-24.04,17.25,-59.14,10.56,-32.41,0.85,0.07,-0.4,walking
50.54,-20.3,18.44,-21.79,26.55,-47.49,1.14,-0.05,-0.37,walking
49.68,-16.17,21.34,-32.65,13.12,-39.92,0.95,0.27,-0.23,walking
49.84,-13.2,22.05,-4.88,12.51,-30.7,0.85,0.24,-0.2,walking
48.18,-11.1,24.05,-2.87,16.91,-0.49,0.77,0.21,-0.28,walking
48.11,-12.76,22.64,14.28,0.67,6.1,1.17,0.21,-0.47,walking
48.3,-14.45,22.17,23.99,-14.28,64.15,0.92,0.08,-0.5,walking
49.21,-19.12,20.14,55.73,-20.57,35.28,1.03,0.02,-0.5,walking
49.41,-23.58,18.46,31.56,-21.73,39.25,0.78,-0.09,-0.41,walking
49,-28.2,15.2,13.55,-23.86,16.78,0.73,-0.06,-0.38,walking
50.31,-27.1,14.87,-15.63,-1.1,-11.47,1.02,-0.1,-0.48,walking
50.07,-23.14,16.2,-43.82,15.14,-25.27,0.85,0.14,-0.34,walking
50.96,-19.92,19.67,-46.51,6.23,-38.76,1.11,0.05,-0.34,walking
50.32,-15.81,21.12,-10.74,10.8,-39.49,0.88,0.24,-0.19,walking
50.1,-13.33,22.61,-5.37,3.11,-26.79,0.84,0.4,-0.17,walking
49.5,-13.98,22.77,23.5,9.89,-4.76,1.15,0.28,-0.27,walking
48.78,-14.2,23.25,-3.72,4.7,23.32,1.03,0.28,-0.44,walking
49.38,-16.91,21.22,67.08,4.88,18.25,1.17,0.01,-0.47,walking
49.63,-21.2,18.58,44.98,-10.68,47.97,0.95,0.02,-0.48,walking
49.28,-25.89,16.28,29.11,-19.84,26.86,0.68,-0.08,-0.36,walking
49.23,-27.33,16.48,1.46,-1.53,-12.94,0.83,-0.01,-0.41,walking
49.83,-24.71,16.44,-56.21,-3.42,-17.52,1.02,0.04,-0.52,walking
50.32,-21.04,19.89,-16.6,16.66,-31.37,0.97,0.14,-0.3,walking
50.74,-18.42,19.43,-52.61,-3.97,-11.6,0.98,0.14,-0.3,walking
50.49,-15.67,20.47,-3.6,1.53,-26,0.8,0.23,-0.23,walking
50.43,-15.16,20.37,-4.58,9.46,-10.01,0.75,0.27,-0.17,walking
49.93,-15.04,21.98,13.12,21.12,0.12,1.08,0.27,-0.39,walking
48.5,-17.16,22.28,7.2,-4.82,45.84,0.95,0.28,-0.36,walking
49.28,-20.19,19.73,85.39,-2.87,6.1,1.15,0.09,-0.47,walking
48.89,-24.85,17.92,23.62,-19.23,47.3,0.93,0.06,-0.43,walking
48.77,-28.33,14.87,9.58,-11.23,24.72,0.63,-0.04,-0.33,walking
48.69,-28.69,15.08,-14.22,0.92,-17.7,0.83,-0.03,-0.44,walking
49.85,-26.6,16.83,-72.69,5.25,-43.82,1.02,0.02,-0.52,walking
49.87,-19.93,20.74,-24.05,25.7,-39.12,1.12,0.09,-0.4,walking
48.72,-15.69,22.12,-36.38,13.67,-26.79,0.94,0.17,-0.24,walking
49.35,-13.79,23.07,-4.76,8.36,-44.13,0.78,0.26,-0.24,walking
49.3,-12.07,23.05,-4.27,-1.59,2.26,0.78,0.29,-0.29,walking
48.54,-12.74,23.28,15.75,1.83,11.11,1.32,0.25,-0.5,walking
49.24,-17.08,22.97,39.73,-8.67,60.18,0.96,0.17,-0.5,walking
49.12,-22.6,20.32,83.25,-10.8,39.06,1.03,0.02,-0.49,walking
48.12,-27.73,15.21,36.74,-20.32,33.08,0.73,-0.14,-0.39,walking
48.57,-29.57,14.76,-4.82,-3.97,9.03,0.64,0,-0.4,walking
48.25,-28.22,14.86,-19.29,-5.31,-29.85,0.95,-0.06,-0.5,walking
49.78,-24.44,17.6,-71.35,18.07,-50.05,0.9,0.19,-0.43,walking
49.73,-18.08,21.22,-19.17,2.75,-38.82,1.2,-0.08,-0.35,walking
49.35,-14.32,21.81,-33.45,-0.73,-29.48,0.85,0.2,-0.25,walking
49.45,-11.76,23.24,-7.81,8.97,-26,0.8,0.36,-0.27,walking
49.18,-11.67,22.69,-3.17,0.61,10.31,0.84,0.27,-0.31,walking
48.79,-12.34,22.24,-4.94,-0.37,32.17,1.1,0.21,-0.5,walking
48.13,-14.69,23.27,51.64,0.79,34.48,1.04,0.07,-0.54,walking
49.4,-22.18,18.82,54.75,-21.18,41.32,1.01,-0.16,-0.43,walking
49.74,-25.49,17.22,51.45,-20.81,17.33,0.78,-0.05,-0.37,walking
50.09,-26.95,14.53,0.12,-2.62,4.03,0.81,-0.08,-0.45,walking
50.78,-25.92,14.58,-24.96,-11.29,-9.83,0.98,-0.12,-0.49,walking
50.67,-22.95,16.96,-39.73,8.67,-15.32,0.81,0.13,-0.32,walking
50.89,-20.43,17.82,-56.88,-8.61,-18.8,1.07,-0.05,-0.38,walking
50.79,-16.99,19.58,-9.7,-1.65,-29.97,0.8,0.24,-0.15,walking
50.72,-13.35,22.57,-12.45,12.82,-22.52,0.85,0.44,-0.14,walking
50.18,-13.5,22.18,20.94,1.04,-0.18,0.94,0.44,-0.24,walking
49.82,-15.44,21.59,-3.85,-13.55,55.6,1.2,0.17,-0.41,walking
49.37,-18.74,20.79,13.12,-6.29,67.99,0.91,0.09,-0.43,walking
49.85,-22.94,18.38,39.73,-21.18,20.39,0.93,-0.17,-0.42,walking
49.69,-25.27,17.21,10.8,-21.67,10.07,0.8,-0.06,-0.36,walking
